Oct01,"{'COVID WALK': 1, 'WALK TODAY': 1, 'TODAY ': 1, ' RIVERVIEW': 1, 'RIVERVIEW HTTPSTCOJCD3IMX0EZ': 1}"
Sep01,"{'GLOBAL COVID19': 1, 'COVID19 CASES': 2, 'CASES TOP': 1, 'TOP 254MN': 1, '254MN JOHNS': 1, 'JOHNS HOPKINS': 2, 'HOPKINS THE': 1, 'THE OVERALL': 1, 'OVERALL NUMBER': 1, 'NUMBER OF': 1, 'OF GLOBAL': 1, 'GLOBAL CORONAVIRUS': 1, 'CORONAVIRUS CASES': 1, 'CASES HAS': 1, 'HAS TOPPED': 1, 'TOPPED 254': 1, '254 MILLION': 1, 'MILLION WHILE': 1, 'WHILE THE': 1, 'THE DEATHS': 1, 'DEATHS HAVE': 1, 'HAVE INCREASED': 1, 'INCREASED TO': 1, 'TO OVER': 1, 'OVER 849000': 1, '849000 ACCORDING': 1, 'ACCORDING TO': 2, 'TO THE': 2, 'THE JOHNS': 1, 'HOPKINS UNIVERSITY': 1, 'UNIVERSITY AS': 1, 'AS OF': 1, 'OF TUESDAY': 1, 'TUESDAY MORNING…': 1, 'MORNING… HTTPSTCOB9KHEH0GVG': 1, 'HTTPSTCOB9KHEH0GVG COVID19': 1, 'COVID19 HEALTH': 1, 'LOVE IS': 1, 'IS IN': 1, 'IN THE': 2, 'THE AIR': 1, 'AIR FAMILIES': 1, 'FAMILIES FRIENDS': 1, 'FRIENDS FINDING': 1, 'FINDING WAYS': 1, 'WAYS TO': 1, 'TO CONNECT': 1, 'CONNECT SAFELY': 1, 'SAFELY MUSIC': 1, 'MUSIC VENUES': 1, 'VENUES ADAPTING': 1, 'ADAPTING TO': 1, 'TO COVID': 1, 'COVID RESTRICTIONS': 1, 'RESTRICTIONS SO': 1, 'SO THAT': 1, 'THAT GIGS': 1, 'GIGS CAN': 1, 'CAN HAPPEN': 1, 'HAPPEN AGAIN': 1, 'AGAIN WHEREVER': 1, 'WHEREVER YOU': 1, 'YOU ARE': 1, 'ARE IN': 1, 'THE WORLD': 2, 'WORLD I': 1, 'I INVITE': 1, 'INVITE YOU': 1, 'YOU TO': 1, 'TO OUR': 1, 'OUR LIVESTREAM': 1, 'LIVESTREAM FROM…': 1, 'FROM… HTTPSTCOPDX9CXKLUK': 1, 'AIR CANADA': 1, 'CANADA VACATIONS': 1, 'VACATIONS IS': 1, 'IS OFFERING': 1, 'OFFERING FREE': 1, 'FREE COVID19': 1, 'COVID19 INSURANCE': 1, 'INSURANCE FOR': 1, 'FOR TRIPS': 1, 'TRIPS TO': 1, 'THE CARIBBEAN': 1, 'CARIBBEAN HTTPSTCOJBIYWVLKJK': 1, 'HTTPSTCOJBIYWVLKJK NEWS': 1, 'NEWS CANADA': 2, 'BUS DRIVER': 1, 'DRIVER SHORTAGE': 1, 'SHORTAGE PPE': 1, 'PPE DELAYS': 1, 'DELAYS PUSHES': 1, 'PUSHES BACKTOSCHOOL': 1, 'BACKTOSCHOOL START': 1, 'START HTTPSTCOZL5Z0QPM1S': 1, 'HTTPSTCOZL5Z0QPM1S HTTPSTCO2UZHS0SZ4I': 1, 'EXERCISE FOR': 1, 'FOR ELEMENTARY': 1, 'ELEMENTARY STUDENTS': 1, 'STUDENTS IN': 1, 'IN A': 1, 'A COVID19': 1, 'COVID19 WORLD': 1, 'WORLD ': 1, ' WESTMOUNT': 1, 'WESTMOUNT QUEBEC': 1, 'QUEBEC HTTPSTCO7W1ZAOJP5G': 1, 'TODAYS MOTIVATIONAL': 1, 'MOTIVATIONAL POST': 1, 'POST HAVE': 1, 'HAVE A': 1, 'A BLESSED': 1, 'BLESSED DAY': 1, 'DAY EVERYONE': 1, 'EVERYONE ': 1, ' FLATTENTHECURVE': 1, 'FLATTENTHECURVE TEAMGOGETTERS': 1, 'TEAMGOGETTERS SELFMOTIVATION': 1, 'SELFMOTIVATION POSITIVEMINDSET': 1, 'POSITIVEMINDSET SIMPLEREMINDERS': 1, 'SIMPLEREMINDERS BESTRONG': 1, 'BESTRONG BEPROUD': 1, 'BEPROUD POSITIVEVIBES': 1, 'POSITIVEVIBES FOCUSED': 1, 'FOCUSED PERSISTENCE': 1, 'PERSISTENCE AMBITION…': 1, 'AMBITION… HTTPSTCO5H4SAUXAY3': 1, 'ONTARIO CONFIRMS': 1, 'CONFIRMS 112': 1, '112 NEW': 1, 'NEW COVID': 1, 'COVID CASES': 1, 'CASES TODAY': 1, 'TODAY HTTPSTCOMDWMPG23EW': 1, 'HTTPSTCOMDWMPG23EW HTTPSTCOCX9F4NOSQS': 1, 'SEPTEMBER 1ST': 1, '1ST BACK': 1, 'BACK TO': 2, 'TO SCHOOL': 1, 'SCHOOL BACK': 1, 'TO WORK': 1, 'WORK IN': 1, 'IN SOME': 1, 'SOME FORM': 1, 'FORM DURING': 1, 'DURING THESE': 1, 'THESE COVID': 1, 'COVID TIMES': 1, 'TIMES ': 1, ' SEPTEMBER': 1, 'SEPTEMBER ALWAYS': 1, 'ALWAYS FEELS': 1, 'FEELS LIKE': 1, 'LIKE A': 1, 'A HARD': 1, 'HARD RESET': 1, 'RESET FOR': 1, 'FOR ME': 1, 'ME IN': 1, 'IN TERMS': 1, 'TERMS OF': 1, 'OF MY': 1, 'MY BUSINESS': 1, 'BUSINESS GET': 1, 'GET MY': 1, 'MY GOALS': 1, 'GOALS ALIGNED': 1, 'ALIGNED FOR': 1, 'FOR THE': 2, 'THE REST': 1, 'REST OF': 1, 'OF THE': 1, 'THE YEAR': 1, 'YEAR AMP': 1, 'AMP START…': 1, 'START… HTTPSTCODSZCYCJUSJ': 1, 'A QUEBEC': 1, 'QUEBEC FATHER': 1, 'FATHER MADE': 1, 'MADE A': 1, 'A LIST': 1, 'LIST OF': 1, 'OF REPORTED': 1, 'REPORTED COVID19': 1, 'CASES AT': 1, 'AT SCHOOLS': 1, 'SCHOOLS BECAUSE': 1, 'BECAUSE THE': 1, 'THE GOVT': 1, 'GOVT HASNT': 1, 'HASNT HTTPSTCOR648NUQMON': 1, 'HTTPSTCOR648NUQMON NEWS': 1, 'CHILDREN COMPLETELY': 1, 'COMPLETELY OVERLOOKED': 1, 'OVERLOOKED IN': 1, 'IN FUNDING': 1, 'FUNDING FOR': 1, 'FOR FIRST': 1, 'FIRST NATIONS': 1, 'NATIONS SCHOOLS': 1, 'SCHOOLS HTTPSTCOHAECMND2V8': 1, 'HTTPSTCOHAECMND2V8 HTTPSTCORHDTQKXRYW': 1, 'SENDING HEALING': 1, 'HEALING AND': 1, 'AND GET': 1, 'GET WELL': 1, 'WELL VIBES': 1, 'VIBES TO': 1, 'TO TOOTS': 1, 'TOOTS HIBBERT': 1, 'HIBBERT 🙏🏾': 1, '🙏🏾 WHO': 1, 'WHO IS': 1, 'IS AWAITING': 1, 'AWAITING COVID': 1, 'COVID 19': 1, '19 TEST': 1, 'TEST RESULTS': 1, 'RESULTS BASED': 1, 'BASED ON': 1, 'ON REPORTS': 1, 'REPORTS BUT': 1, 'BUT IS': 1, 'IS ALREADY': 1, 'ALREADY RECOVERING': 1, 'RECOVERING IN': 1, 'IN AN': 1, 'AN INTENSIVE': 1, 'INTENSIVE CARE': 1, 'CARE UNIT': 1, 'UNIT TOOTSHIBBERT': 1, 'TOOTSHIBBERT 🙏🏾❤️': 1, '🙏🏾❤️ TOOTS': 1, 'TOOTS AND': 1, 'AND THE': 1, 'THE MAYTALS…': 1, 'MAYTALS… HTTPSTCO5TLMNXJYXI': 1, 'LONGTERM CARE': 1, 'CARE HAS': 1, 'HAS BECOME': 1, 'BECOME A': 1, 'A FACTORY': 1, 'FACTORY ASSEMBLY': 1, 'ASSEMBLY LINE': 1, 'LINE ACCORDING': 1, 'TO CARE': 1, 'CARE WORKER': 1, 'WORKER HTTPSTCOMZIEWMOWNP': 1, 'HTTPSTCOMZIEWMOWNP HTTPSTCO6HRNXTVLIH': 1, 'JAPAN STUDY': 1, 'STUDY FINDS': 1, 'FINDS EFFECTIVE': 1, 'EFFECTIVE TREATMENT': 2, 'TREATMENT FOR': 2, 'FOR SEVERE': 1, 'SEVERE COVID19': 1, 'COVID19 AS': 1, 'AS COUNTRIES': 1, 'COUNTRIES AROUND': 1, 'AROUND THE': 1, 'WORLD RACE': 1, 'RACE TO': 1, 'TO DEVELOP': 1, 'DEVELOP A': 1, 'A VACCINE': 1, 'VACCINE FOR': 1, 'FOR COVID19': 1, 'COVID19 VIRUS': 1, 'VIRUS THE': 1, 'THE JAPANESE': 1, 'JAPANESE RESEARCHERS': 1, 'RESEARCHERS HAVE': 1, 'HAVE IDENTIFIED': 1, 'IDENTIFIED AN': 1, 'AN EFFECTIVE': 1, 'THE DEADLY…': 1, 'DEADLY… HTTPSTCOW0X79NVLTD': 1, 'HTTPSTCOW0X79NVLTD COVID19': 1, 'COVID19 FEATURED': 1, 'FEATURED NEWS': 1, 'YEAH MAN': 1, 'MAN FUCK': 1, 'FUCK OLD': 1, 'OLD PEOPLE': 1, 'PEOPLE HTTPSTCOZYOXWXRHC9': 1}"
Sep02,"{'SAW THIS': 1, 'THIS ON': 1, 'ON A': 3, 'A DOOR': 1, 'DOOR IN': 1, 'IN MY': 3, 'MY BUILDING': 1, 'BUILDING I': 1, 'I GUESS': 1, 'GUESS IT’S': 1, 'IT’S SOMEONE’S': 1, 'SOMEONE’S SELFISOLATION': 1, 'SELFISOLATION COVID19': 1, 'COVID19 KITSOLANO': 1, 'KITSOLANO VANCOUVER': 1, 'VANCOUVER ': 1, ' KITSILANO': 1, 'KITSILANO BEACH': 1, 'BEACH HTTPSTCOSJT58SWBPR': 1, '6 WEEKS': 1, 'WEEKS LATER': 1, 'LATER I': 1, 'I AM': 2, 'AM STILL': 1, 'STILL FEELING': 1, 'FEELING THE': 1, 'THE EFFECTS': 1, 'EFFECTS OF': 2, 'OF THE': 3, 'THE CORONAVIRUS': 1, 'CORONAVIRUS MOSTLY': 1, 'MOSTLY IN': 1, 'MY LUNGS': 1, 'LUNGS WITH': 1, 'WITH THE': 1, 'THE SHORTNESS': 1, 'SHORTNESS OF': 1, 'OF BREATH': 1, 'BREATH AND': 1, 'AND A': 1, 'A DRY': 1, 'DRY COUGH': 1, 'COUGH I': 1, 'AM NOW': 1, 'NOW FEELING': 1, 'FEELING EFFECTS': 1, 'OF DEPRESSION': 1, 'DEPRESSION FROM': 1, 'FROM THE': 1, 'THE VIRUS': 1, 'VIRUS AS': 1, 'AS WELL': 1, 'WELL AS': 1, 'AS NEWS': 1, 'NEWS OF': 1, 'THE PANDEMIC…': 1, 'PANDEMIC… HTTPSTCOC1VQJ1KHU4': 1, 'WHAT PART': 1, 'PART OF': 1, 'OF GREATER': 1, 'GREATER HAMILTON': 1, 'HAMILTON DO': 1, 'DO YOU': 1, 'YOU LIVE': 1, 'LIVE IN': 1, 'IN FIND': 1, 'FIND OUT': 1, 'OUT WHAT’S': 1, 'WHAT’S BEEN': 1, 'BEEN GOING': 1, 'GOING ON': 1, 'ON FROM': 1, 'FROM LAST': 1, 'LAST AUGUST': 1, 'AUGUST TO': 1, 'TO AUGUST': 1, 'AUGUST 2020': 1, '2020 COVID': 1, 'COVID OUR': 1, 'OUR THE': 1, 'THE BRAKES': 1, 'BRAKES ON': 1, 'ON THEN': 1, 'THEN SOMEONE': 1, 'SOMEONE PRESSES': 1, 'PRESSES THE': 1, 'THE GAS': 1, 'GAS HAHAMILTONREALESTATE': 1, 'HAHAMILTONREALESTATE HAMONT': 1, 'HAMONT HAMILTON…': 1, 'HAMILTON… HTTPSTCOKJFS7PLDNH': 1, 'JFAAPTHINGS THE': 1, 'THE NIGHTMARE': 1, 'NIGHTMARE OF': 1, 'OF HAVING': 1, 'HAVING TO': 1, 'TO RELY': 1, 'RELY ON': 1, 'A CROWDED': 1, 'CROWDED BUS': 1, 'BUS ROUTES': 1, 'ROUTES ON': 1, 'A DAILY': 1, 'DAILY DURING': 1, 'DURING A': 1, 'A PANDEMIC': 1, 'PANDEMIC TTC': 1, 'TTC POSTED': 1, 'POSTED WITHREGRAM': 1, 'WITHREGRAM •': 1, '• JFAAP': 1, 'JFAAP THE': 1, 'THE JANE': 1, 'JANE FINCH': 1, 'FINCH COMMUNITY': 1, 'COMMUNITY AND': 1, 'AND NORTHWEST': 1, 'NORTHWEST TORONTO': 1, 'TORONTO ARE': 1, 'ARE AMONGST': 1, 'AMONGST THE': 1, 'THE AREAS': 1, 'AREAS HARDEST': 1, 'HARDEST HIT': 1, 'HIT BY…': 1, 'BY… HTTPSTCOENBSYW5UOD': 1, 'CANUCKS FAN': 1, 'FAN FOR': 1, 'FOR OVER': 1, 'OVER 27': 1, '27 YEARS': 1, 'YEARS LEAVE': 1, 'LEAVE ME': 1, 'ME IN': 1, 'MY BUBBLE': 1, 'BUBBLE GO': 1, 'GO CANUCKS': 1, 'CANUCKS GO': 1, 'GO STANLEYCUP': 1, 'STANLEYCUP STANLEYCUPPLAYOFFS2020': 1, 'STANLEYCUPPLAYOFFS2020 SOCIALDISTANCING': 1, 'SOCIALDISTANCING CANUCKSNATION': 1, 'CANUCKSNATION OUTDOORS': 1, 'OUTDOORS KARYMOVERS': 1, 'KARYMOVERS ': 1, ' PROPICS': 1, 'PROPICS CANADA': 1, 'CANADA HTTPSTCO1TFX80IEFS': 1, 'TAI CHI': 1, 'CHI GROUP': 1, 'GROUP BOOSTED': 1, 'BOOSTED BY': 1, 'BY GOLDEN': 1, 'GOLDEN BEAVER': 1, 'BEAVER MASONIC': 1, 'MASONIC LODGE': 1, 'LODGE HTTPSTCO43INMQDQD2': 1, 'HTTPSTCO43INMQDQD2 HTTPSTCOQRBIHFQIFH': 1, 'TODAYS MOTIVATIONAL': 1, 'MOTIVATIONAL POST': 1, 'POST HAVE': 1, 'HAVE A': 1, 'A BLESSED': 1, 'BLESSED DAY': 1, 'DAY EVERYONE': 1, 'EVERYONE ': 1, ' FLATTENTHECURVE': 1, 'FLATTENTHECURVE TEAMGOGETTERS': 1, 'TEAMGOGETTERS SELFMOTIVATION': 1, 'SELFMOTIVATION POSITIVEMINDSET': 1, 'POSITIVEMINDSET SIMPLEREMINDERS': 1, 'SIMPLEREMINDERS BESTRONG': 1, 'BESTRONG BEPROUD': 1, 'BEPROUD POSITIVEVIBES': 1, 'POSITIVEVIBES FOCUSED': 1, 'FOCUSED PERSISTENCE': 1, 'PERSISTENCE AMBITION': 1, 'AMBITION INITTOWINIT…': 1, 'INITTOWINIT… HTTPSTCODSNLFOYBFA': 1, 'WE’RE ROLLING': 1, 'ROLLING OUT': 1, 'OUT “CAMPUS': 1, '“CAMPUS CHECKIN”': 1, 'CHECKIN” HERE': 1, 'HERE AT': 1, 'AT UWATERLOO': 1, 'UWATERLOO AUTOMATICALLY': 1, 'AUTOMATICALLY LOGGED': 1, 'LOGGED VIA': 1, 'VIA EDUROAM': 1, 'EDUROAM OR': 1, 'OR YOU': 1, 'YOU CAN': 1, 'CAN MANUALLY': 1, 'MANUALLY LOG': 1, 'LOG IN': 1, 'IN VIA': 1, 'VIA A': 1, 'A FORM': 1, 'FORM KEEPS': 1, 'KEEPS TRACK': 1, 'TRACK OF': 1, 'OF EVERYBODY': 1, 'EVERYBODY COMING': 1, 'COMING IN': 1, 'IN AND': 1, 'AND OUT': 2, 'OUT OF': 2, 'OF ALL': 1, 'ALL BUILDINGS': 1, 'BUILDINGS MANY': 1, 'MANY OF': 1, 'OF US': 1, 'US ARE': 1, 'ARE STILL': 1, 'STILL ON': 1, 'ON MANDATORY': 1, 'MANDATORY WFH': 1, 'WFH AND': 1, 'AND MOST': 1, 'MOST CLASSES': 1, 'CLASSES ARE': 1, 'ARE REMOTE': 1, 'REMOTE HTTPSTCOHK92T93TKN': 1, 'IF YOU': 2, 'YOU TOLD': 1, 'TOLD ME': 1, 'ME 18': 1, '18 YEARS': 1, 'YEARS AGO': 1, 'AGO EVEN': 1, 'EVEN 18': 1, '18 MONTHS': 1, 'MONTHS AGO': 1, 'AGO THAT': 1, 'THAT WE’D': 1, 'WE’D HAVE': 1, 'HAVE TO': 1, 'TO BECOME': 1, 'BECOME EXPERTS': 1, 'EXPERTS AT': 1, 'AT PROCURING': 1, 'PROCURING PPE': 1, 'PPE LYSOL': 1, 'LYSOL PRODUCT’S': 1, 'PRODUCT’S AMP': 1, 'AMP ALCOHOL': 1, 'ALCOHOL BASED': 1, 'BASED HANDSANITIZER': 1, 'HANDSANITIZER I’D': 1, 'I’D HAVE': 1, 'HAVE TOLD': 1, 'TOLD YOU': 1, 'YOU TO': 1, 'TO GET': 2, 'GET 🤬🤬': 1, '🤬🤬 THAT': 1, 'THAT YOU': 1, 'YOU HAD': 1, 'HAD TO': 1, 'TO BE': 2, 'BE KIDDING': 1, 'KIDDING ME': 1, 'ME 🤦🏻\\u200d♀️': 1, '🤦🏻\\u200d♀️ I…': 1, 'I… HTTPSTCOMYOQQCPNXB': 1, 'ONTARIO CONFIRMS': 1, 'CONFIRMS 133': 1, '133 NEW': 1, 'NEW COVID': 1, 'COVID CASES': 1, 'CASES TODAY': 1, 'TODAY HTTPSTCOICMJLEGUAF': 1, 'HTTPSTCOICMJLEGUAF HTTPSTCO0XRNHO2OZ2': 1, 'AFTER DOUBLING': 1, 'DOUBLING DOWN': 1, 'DOWN ON': 1, 'ON QUARANTINE': 1, 'QUARANTINE THIS': 1, 'THIS IS': 1, 'IS A': 1, 'A LOVELY': 1, 'LOVELY START': 1, 'START TO': 1, 'TO SEPTEMBER': 1, 'SEPTEMBER WITH': 1, 'WITH MY': 1, 'MY ANKLE': 1, 'ANKLE ON': 1, 'ON THE': 3, 'THE MEND': 1, 'MEND ': 1, ' LANGDON': 1, 'LANGDON HALL': 1, 'HALL COUNTRY': 1, 'COUNTRY HOUSE': 1, 'HOUSE HOTEL': 1, 'HOTEL AMP': 1, 'AMP SPA': 1, 'SPA HTTPSTCOHAWKCEINYY': 1, 'FIRST TIME': 1, 'TIME ON': 1, 'THE EIGHTH': 1, 'EIGHTH SINCE': 1, 'SINCE THE': 1, 'THE PANDEMIC': 1, 'PANDEMIC STARTED': 1, 'STARTED BACK': 1, 'BACK IN': 1, 'IN MARCH': 1, 'MARCH PROCEDURES': 1, 'PROCEDURES ARE': 1, 'ARE A': 1, 'A LITTLE': 1, 'LITTLE TRICKY': 1, 'TRICKY BUT': 1, 'BUT IT': 1, 'IT WAS': 1, 'WAS GOOD': 1, 'GOOD TO': 1, 'GET BACK': 1, 'BACK ON': 1, 'THE ICE': 1, 'ICE ': 1, ' RICHCRAFT': 1, 'RICHCRAFT SENSPLEX': 1, 'SENSPLEX OTTAWA': 1, 'OTTAWA EAST': 1, 'EAST HTTPSTCOTUUTIOALLL': 1, 'NORTHERN ONTARIO': 1, 'ONTARIO BUS': 1, 'BUS DRIVERS': 1, 'DRIVERS SAY': 1, 'SAY THEY’RE': 1, 'THEY’RE WORRIED': 1, 'WORRIED ABOUT': 1, 'ABOUT BACKTOSCHOOL': 1, 'BACKTOSCHOOL BUSING': 1, 'BUSING PLAN': 1, 'PLAN HTTPSTCO1RNJ5EEBBG': 1, 'HTTPSTCO1RNJ5EEBBG HTTPSTCOIWLFAGA84F': 1, 'YOU HAVE': 1, 'HAVE OR': 1, 'OR WILL': 1, 'WILL INCUR': 1, 'INCUR UNEXPECTED': 1, 'UNEXPECTED COSTS': 1, 'COSTS FOR': 1, 'FOR YOUR': 1, 'YOUR BUSINESS': 1, 'BUSINESS RELATED': 1, 'RELATED TO': 1, 'TO COVID19': 1, 'COVID19 YOU': 1, 'YOU COULD': 1, 'COULD BE': 1, 'BE ELIGIBLE': 1, 'ELIGIBLE FOR': 1, 'FOR A': 1, 'A CANADAUNITED': 1, 'CANADAUNITED SMALL': 1, 'SMALL BUSINESS': 1, 'BUSINESS RELIEF': 1, 'RELIEF FUND': 1, 'FUND GRANT': 1, 'GRANT UP': 1, 'UP TO': 1, 'TO 5000': 1, '5000 THE': 1, 'THE APPLICATION': 1, 'APPLICATION WINDOW': 1, 'WINDOW IS': 1, 'IS NOW': 1, 'NOW OPEN': 1, 'OPEN FOR': 1, 'FOR DETAILS': 1, 'DETAILS HTTPSTCOYJWQVLP3PM': 1, 'HTTPSTCOYJWQVLP3PM GOCANADAUNITED': 1, 'GOCANADAUNITED HTTPSTCOWTFXK7LUHK': 1, 'APRIL MAY': 1, 'MAY JUNE': 1, 'JUNE 2020': 1, '2020 Q2': 1, 'Q2 IMMIGRATION': 1, 'IMMIGRATION TO': 1, 'TO CANADA': 1, 'CANADA IS': 1, 'IS DOWN': 1, 'DOWN BY': 1, 'BY 64': 1, '64 THE': 1, 'THE 2020': 1, '2020 IMMIGRATION': 1, 'IMMIGRATION TARGET': 1, 'TARGET WAS': 1, 'WAS ANNOUNCED': 1, 'ANNOUNCED AS': 1, 'AS 341000': 1, '341000 PEOPLE': 1, 'PEOPLE PRIOR': 1, 'PRIOR TO': 1, 'TO COVID': 1, 'COVID WILL': 1, 'WILL CASES': 1, 'CASES GET': 1, 'GET PUSHED': 1, 'PUSHED THROUGH': 1, 'THROUGH BEFORE': 1, 'BEFORE THE': 1, 'THE END': 1, 'END OF': 1, 'THE YEAR': 1, 'YEAR TO': 1, 'TO COME': 1, 'COME CLOSER': 1, 'CLOSER TO…': 1, 'TO… HTTPSTCOYTGFG3D02D': 1, 'IT ALWAYS': 1, 'ALWAYS USED': 1, 'USED TO': 1, 'BE JUST': 1, 'JUST HORMONAL': 1, 'HORMONAL ACNE': 1, 'ACNE BUT': 1, 'BUT SINCE': 1, 'SINCE MARCHCOVID': 1, 'MARCHCOVID MY': 1, 'MY SKIN': 1, 'SKIN HAS': 1, 'HAS BEEN': 1, 'BEEN SO': 1, 'SO INFLAMED': 1, 'INFLAMED AND': 1, 'OF CONTROL': 1, 'CONTROL MY': 1, 'MY HERBALIST': 1, 'HERBALIST TELLS': 1, 'TELLS ME': 1, 'ME IT': 1, 'IT IS': 1, 'IS STRESS': 1, 'STRESS INDUCED': 1, 'INDUCED YOU': 1, 'YOU KNOW': 1, 'KNOW ALL': 1, 'ALL THE': 1, 'THE WORRYING': 1, 'WORRYING ABOUT': 1, 'ABOUT STAYING': 1, 'STAYING SAFE': 1, 'SAFE AND': 1, 'AND WHAT': 1, 'WHAT TO': 1, 'TO DO…': 1, 'DO… HTTPSTCONLMFXZWNQO': 1, 'STREAMED THE': 1, 'THE LION': 1, 'LION KING': 1, 'KING MISS': 1, 'MISS DUCK': 1, 'DUCK DYNASTY': 1, 'DYNASTY MEET': 1, 'MEET SOUTHERN': 1, 'SOUTHERN SURVIVAL': 1, 'SURVIVAL NOW': 1, 'NOW STREAMING': 1, 'STREAMING ON': 1, 'ON NETFLIX': 1, 'NETFLIX BLOWTHINGSUP': 1, 'BLOWTHINGSUP FIRE': 1, 'FIRE SHOOT': 1, 'SHOOT BEER': 1, 'BEER REDNECK': 1, 'REDNECK NETFLIX': 1, 'NETFLIX STREAMING': 1, 'STREAMING TV': 1, 'TV PANDEMIC': 1, 'PANDEMIC ': 2, ' FLAG': 1, 'FLAG RAIDERS': 1, 'RAIDERS PAINTBALL': 1, 'PAINTBALL HTTPSTCOG4DXDZKLCY': 1, 'NORTHERN COLLEGE': 1, 'COLLEGE BRACES': 1, 'BRACES FOR': 1, 'FOR FALL': 1, 'FALL SEMESTER': 1, 'SEMESTER HTTPSTCOCDHGXJVTA3': 1, 'HTTPSTCOCDHGXJVTA3 HTTPSTCO5SWJD9GGMD': 1, 'ONTARIO RELEASES': 1, 'RELEASES PLAN': 1, 'PLAN FOR': 1, 'FOR INSCHOOL': 1, 'INSCHOOL SAFETY': 1, 'SAFETY TORONTO': 1, 'TORONTO THE': 1, 'THE ONTARIO': 1, 'ONTARIO GOVERNMENT': 1, 'GOVERNMENT HAS': 1, 'HAS RELEASED': 1, 'RELEASED THE': 1, 'THE OPERATIONAL': 1, 'OPERATIONAL GUIDANCE': 1, 'GUIDANCE COVID19': 1, 'COVID19 MANAGEMENT': 1, 'MANAGEMENT IN': 1, 'IN SCHOOLS': 1, 'SCHOOLS DOCUMENT': 1, 'DOCUMENT THIS': 1, 'THIS GUIDE': 1, 'GUIDE WAS': 1, 'WAS DEVELOPED': 1, 'DEVELOPED IN': 1, 'IN CONSULTATION': 1, 'CONSULTATION WITH': 1, 'WITH PUBLIC': 1, 'PUBLIC HEALTH': 1, 'HEALTH EXPERTS…': 1, 'EXPERTS… HTTPSTCOKGJP6DYDNL': 1, 'HTTPSTCOKGJP6DYDNL CANADA': 1, 'CANADA EDUCATION': 1, 'EDUCATION ONTARIO': 1, 'WHALE WATCHING': 1, 'WATCHING IN': 1, 'IN THE': 1, 'THE TIME': 1, 'TIME OF': 1, 'OF COVID': 1, 'COVID PANDEMIC': 1, ' TADOUSSAC': 1, 'TADOUSSAC QUEBEC': 1, 'QUEBEC HTTPSTCODXEM06AASR': 1}"
